2026-02-02T23:23:54.000000000Z [inf]  Starting Container
2026-02-02T23:23:55.087577464Z [inf]  11:23:54 PM [express] ✓ All required environment variables are present
2026-02-02T23:23:55.087589472Z [inf]  11:23:54 PM [express] Registering routes and setting up server...
2026-02-02T23:23:55.088041981Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-02T23:23:55.088045737Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-02T23:23:55.088049252Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-02T23:23:55.088052948Z [err]      at Function.route (/app/node_modules/router/index.js:428:17)
2026-02-02T23:23:55.088056483Z [err]      at Function.route (/app/node_modules/express/lib/application.js:257:22)
2026-02-02T23:23:55.088060138Z [err]      at app.<computed> [as get] (/app/node_modules/express/lib/application.js:478:22)
2026-02-02T23:23:55.088063964Z [err]      at registerRoutes (file:///app/dist/index.js:35559:8) {
2026-02-02T23:23:55.088067299Z [err]    originalPath: '/objects/*'
2026-02-02T23:23:55.088071345Z [err]  }
2026-02-02T23:23:55.721297327Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:23:55.721299911Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:23:55.721302756Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:23:55.721305069Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:23:55.726977668Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:23:55.731294824Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:23:55.731298639Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:23:55.735956937Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:23:55.778254773Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:23:55.779561063Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:23:55.784172700Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:23:55.788908143Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:23:55.793309375Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:23:55.798073261Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:23:55.802444828Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:23:55.807064187Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:23:55.811962644Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:23:55.816313110Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:23:55.821351658Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:23:55.826323075Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:23:55.830789475Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:23:55.835998949Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:23:55.846428743Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:23:55.850924347Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T23:23:55.860411367Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T23:23:55.864865418Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T23:23:56.272847357Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-02T23:23:56.285884282Z [inf]  11:23:56 PM [express] Starting EchoDeed application in production mode...
2026-02-02T23:23:56.285887798Z [inf]  11:23:56 PM [express] Checking required environment variables for production...
2026-02-02T23:23:56.285891233Z [inf]  11:23:56 PM [express] ✓ All required environment variables are present
2026-02-02T23:23:56.285894127Z [inf]  11:23:56 PM [express] Registering routes and setting up server...
2026-02-02T23:23:56.294476561Z [inf]  11:23:56 PM [express] ✗ Fatal error during application startup: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:23:56.294482520Z [inf]  11:23:56 PM [express] ✗ Application failed to initialize. Exiting...
2026-02-02T23:23:56.294506466Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T23:23:56.298782429Z [err]  Startup error details: PathError [TypeError]: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:23:56.298787026Z [err]      at name (/app/node_modules/path-to-regexp/dist/index.js:96:19)
2026-02-02T23:23:56.298790451Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:113:68)
2026-02-02T23:23:56.298794107Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-02T23:23:56.298797702Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-02T23:23:56.298801868Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-02T23:23:56.298805604Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-02T23:23:56.298810521Z [err]      at Function.route (/app/node_modules/router/index.js:428:17)
2026-02-02T23:23:56.298814437Z [err]      at Function.route (/app/node_modules/express/lib/application.js:257:22)
2026-02-02T23:23:56.298817822Z [err]      at app.<computed> [as get] (/app/node_modules/express/lib/application.js:478:22)
2026-02-02T23:23:56.298821097Z [err]      at registerRoutes (file:///app/dist/index.js:35559:8) {
2026-02-02T23:23:56.298824152Z [err]    originalPath: '/objects/*'
2026-02-02T23:23:56.298827717Z [err]  }
2026-02-02T23:23:57.092208260Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:23:57.092211264Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:23:57.092213878Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:23:57.092217494Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:23:57.092220148Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:23:57.092222902Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:23:57.092225406Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:23:57.092760358Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:23:57.141028189Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:23:57.141574469Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:23:57.164820678Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:23:57.185274198Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:23:57.185864343Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:23:57.196292716Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:23:57.201850963Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:23:57.202474218Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:23:57.213365946Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:23:57.213371033Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:23:57.218081418Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:23:57.222831253Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:23:57.232193847Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:23:57.242917522Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:23:57.275042440Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:23:57.275047677Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T23:23:57.275051503Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T23:23:57.285590642Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T23:23:57.727735545Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-02T23:23:57.748593481Z [inf]  11:23:57 PM [express] Starting EchoDeed application in production mode...
2026-02-02T23:23:57.748596225Z [inf]  11:23:57 PM [express] Checking required environment variables for production...
2026-02-02T23:23:57.748599060Z [inf]  11:23:57 PM [express] ✓ All required environment variables are present
2026-02-02T23:23:57.748601563Z [inf]  11:23:57 PM [express] Registering routes and setting up server...
2026-02-02T23:23:57.750068624Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T23:23:57.750759050Z [inf]  11:23:57 PM [express] ✗ Fatal error during application startup: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:23:57.750763286Z [inf]  11:23:57 PM [express] ✗ Application failed to initialize. Exiting...
2026-02-02T23:23:57.755332259Z [err]  Startup error details: PathError [TypeError]: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:23:57.755339150Z [err]      at name (/app/node_modules/path-to-regexp/dist/index.js:96:19)
2026-02-02T23:23:57.755343677Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:113:68)
2026-02-02T23:23:57.755347432Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-02T23:23:57.755351098Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-02T23:23:57.755354723Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-02T23:23:57.755357948Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-02T23:23:57.755361003Z [err]      at Function.route (/app/node_modules/router/index.js:428:17)
2026-02-02T23:23:57.755363947Z [err]      at Function.route (/app/node_modules/express/lib/application.js:257:22)
2026-02-02T23:23:57.755369676Z [err]      at app.<computed> [as get] (/app/node_modules/express/lib/application.js:478:22)
2026-02-02T23:23:57.755372600Z [err]      at registerRoutes (file:///app/dist/index.js:35559:8) {
2026-02-02T23:23:57.755375865Z [err]    originalPath: '/objects/*'
2026-02-02T23:23:57.755378899Z [err]  }
2026-02-02T23:23:58.533053714Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:23:58.533060925Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:23:58.533064590Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:23:58.533067344Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:23:58.533069918Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:23:58.533073534Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:23:58.533076979Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:23:58.533079973Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:23:58.553548155Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:23:58.579610178Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:23:58.599824589Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:23:58.605419572Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:23:58.610157408Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:23:58.614760934Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:23:58.619547333Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:23:58.624245010Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:23:58.629051469Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:23:58.638766161Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:23:58.643574274Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:23:58.649186371Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:23:58.658993112Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:23:58.669864949Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:23:58.669867994Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:23:58.681512240Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T23:23:58.692185299Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T23:23:58.696927152Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T23:23:59.117573468Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-02T23:23:59.128409491Z [inf]  11:23:59 PM [express] Starting EchoDeed application in production mode...
2026-02-02T23:23:59.128414278Z [inf]  11:23:59 PM [express] Checking required environment variables for production...
2026-02-02T23:23:59.128418565Z [inf]  11:23:59 PM [express] ✓ All required environment variables are present
2026-02-02T23:23:59.128423642Z [inf]  11:23:59 PM [express] Registering routes and setting up server...
2026-02-02T23:23:59.133223763Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T23:23:59.133227989Z [inf]  11:23:59 PM [express] ✗ Fatal error during application startup: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:23:59.133905706Z [inf]  11:23:59 PM [express] ✗ Application failed to initialize. Exiting...
2026-02-02T23:23:59.138806156Z [err]  Startup error details: PathError [TypeError]: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:23:59.138810503Z [err]      at name (/app/node_modules/path-to-regexp/dist/index.js:96:19)
2026-02-02T23:23:59.138812125Z [err]      at Function.route (/app/node_modules/express/lib/application.js:257:22)
2026-02-02T23:23:59.138814849Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:113:68)
2026-02-02T23:23:59.138817123Z [err]      at app.<computed> [as get] (/app/node_modules/express/lib/application.js:478:22)
2026-02-02T23:23:59.138819306Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-02T23:23:59.138820758Z [err]      at registerRoutes (file:///app/dist/index.js:35559:8) {
2026-02-02T23:23:59.138823582Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-02T23:23:59.138827248Z [err]    originalPath: '/objects/*'
2026-02-02T23:23:59.138828099Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-02T23:23:59.138830222Z [err]  }
2026-02-02T23:23:59.138832436Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-02T23:23:59.138836281Z [err]      at Function.route (/app/node_modules/router/index.js:428:17)
2026-02-02T23:23:59.840099650Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:23:59.840104847Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:23:59.840108152Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:23:59.840112228Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:23:59.917393570Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:23:59.928200109Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:23:59.928203154Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:23:59.928205948Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:23:59.969128061Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:23:59.998555512Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:24:00.004060369Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:24:00.117363462Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:24:00.117367348Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:24:00.117370333Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:24:00.117373628Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:24:00.117376652Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:24:00.117379827Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:24:00.117382821Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:24:00.121638255Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:24:00.126376422Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:24:00.131166146Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:24:00.135539276Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:24:00.140163212Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:24:00.156122741Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T23:24:00.167303712Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T23:24:00.171781819Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T23:24:00.576509036Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-02T23:24:00.589986943Z [inf]  11:24:00 PM [express] Starting EchoDeed application in production mode...
2026-02-02T23:24:00.589992792Z [inf]  11:24:00 PM [express] Checking required environment variables for production...
2026-02-02T23:24:00.589998591Z [inf]  11:24:00 PM [express] ✓ All required environment variables are present
2026-02-02T23:24:00.590003017Z [inf]  11:24:00 PM [express] Registering routes and setting up server...
2026-02-02T23:24:00.600680783Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T23:24:00.600685340Z [inf]  11:24:00 PM [express] ✗ Fatal error during application startup: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:24:00.600688365Z [inf]  11:24:00 PM [express] ✗ Application failed to initialize. Exiting...
2026-02-02T23:24:00.601708806Z [err]  Startup error details: PathError [TypeError]: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:24:00.601714134Z [err]      at name (/app/node_modules/path-to-regexp/dist/index.js:96:19)
2026-02-02T23:24:00.601717779Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:113:68)
2026-02-02T23:24:00.601720773Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-02T23:24:00.601724239Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-02T23:24:00.601727113Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-02T23:24:00.601729667Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-02T23:24:00.601733002Z [err]      at Function.route (/app/node_modules/router/index.js:428:17)
2026-02-02T23:24:00.601735766Z [err]      at Function.route (/app/node_modules/express/lib/application.js:257:22)
2026-02-02T23:24:00.601738310Z [err]      at app.<computed> [as get] (/app/node_modules/express/lib/application.js:478:22)
2026-02-02T23:24:00.601740824Z [err]      at registerRoutes (file:///app/dist/index.js:35559:8) {
2026-02-02T23:24:00.601743598Z [err]    originalPath: '/objects/*'
2026-02-02T23:24:00.601746342Z [err]  }
2026-02-02T23:24:01.340623770Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:24:01.340627005Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:24:01.340630060Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:24:01.340632974Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:24:01.366289810Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:24:01.370584842Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:24:01.370589539Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:24:01.374973094Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:24:01.416620465Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:24:01.436977821Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:24:01.456938361Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:24:01.467250610Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:24:01.487532993Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:24:01.497756919Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:24:01.507909357Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:24:01.512192031Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:24:01.522430499Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:24:01.527156007Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:24:01.547446392Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:24:01.561056427Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:24:01.571193092Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:24:01.591271049Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:24:01.595824940Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:24:01.606457729Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T23:24:01.611124990Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T23:24:01.615455776Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T23:24:02.121879987Z [inf]  11:24:02 PM [express] ✓ All required environment variables are present
2026-02-02T23:24:02.121887158Z [inf]  11:24:02 PM [express] Registering routes and setting up server...
2026-02-02T23:24:02.121890653Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T23:24:02.121894559Z [inf]  11:24:02 PM [express] ✗ Fatal error during application startup: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:24:02.121897804Z [inf]  11:24:02 PM [express] ✗ Application failed to initialize. Exiting...
2026-02-02T23:24:02.121902601Z [err]  Startup error details: PathError [TypeError]: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:24:02.121905506Z [err]      at name (/app/node_modules/path-to-regexp/dist/index.js:96:19)
2026-02-02T23:24:02.121908370Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:113:68)
2026-02-02T23:24:02.121911024Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-02T23:24:02.121914148Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-02T23:24:02.121917063Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-02T23:24:02.121919807Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-02T23:24:02.121923543Z [err]      at Function.route (/app/node_modules/router/index.js:428:17)
