2026-02-05T01:49:01.000000000Z [inf]  Starting Container
2026-02-05T01:49:53.656133508Z [err]    [Symbol(kMessage)]: ''
2026-02-05T01:49:53.656140665Z [err]  }
2026-02-05T01:49:53.656155861Z [err]      _closeFrameSent: false,
2026-02-05T01:49:53.656163557Z [err]      _closeMessage: <Buffer >,
2026-02-05T01:49:53.656170153Z [err]      _closeTimer: null,
2026-02-05T01:49:53.656176020Z [err]      _errorEmitted: true,
2026-02-05T01:49:53.656180971Z [inf]  1:49:45 AM [express] GET /api/rewards/offers/all/all 500 in 71ms :: {"message":"Failed to get reward…
2026-02-05T01:49:53.656182990Z [err]      _extensions: {},
2026-02-05T01:49:53.656188844Z [err]  Error fetching user: ErrorEvent {
2026-02-05T01:49:53.656197083Z [err]    [Symbol(kTarget)]: WebSocket {
2026-02-05T01:49:53.656199447Z [err]      },
2026-02-05T01:49:53.656203895Z [err]      _events: [Object: null prototype] {
2026-02-05T01:49:53.656210758Z [err]        error: [Function],
2026-02-05T01:49:53.656210971Z [err]      _eventsCount: 4,
2026-02-05T01:49:53.656217691Z [err]        message: [Function],
2026-02-05T01:49:53.656218761Z [err]      _maxListeners: undefined,
2026-02-05T01:49:53.656224635Z [err]        close: [Function],
2026-02-05T01:49:53.656226341Z [err]      _binaryType: 'arraybuffer',
2026-02-05T01:49:53.656232048Z [err]        open: [Function]
2026-02-05T01:49:53.656233199Z [err]      _closeCode: 1006,
2026-02-05T01:49:53.656240873Z [err]      _closeFrameReceived: false,
2026-02-05T01:49:53.656254683Z [err]      _eventsCount: 4,
2026-02-05T01:49:53.656263866Z [err]      _maxListeners: undefined,
2026-02-05T01:49:53.656269070Z [err]      _paused: false,
2026-02-05T01:49:53.656271375Z [err]      _binaryType: 'arraybuffer',
2026-02-05T01:49:53.656277016Z [err]      _protocol: '',
2026-02-05T01:49:53.656279305Z [err]      _closeCode: 1006,
2026-02-05T01:49:53.656284191Z [err]      _readyState: 3,
2026-02-05T01:49:53.656291236Z [err]  COPPA enforcement error: ErrorEvent {
2026-02-05T01:49:53.656291814Z [err]      _receiver: null,
2026-02-05T01:49:53.656299150Z [err]    [Symbol(kTarget)]: WebSocket {
2026-02-05T01:49:53.656300111Z [err]      _sender: null,
2026-02-05T01:49:53.656307455Z [err]      _events: [Object: null prototype] {
2026-02-05T01:49:53.656309611Z [err]      _socket: null,
2026-02-05T01:49:53.656315318Z [err]        error: [Function],
2026-02-05T01:49:53.656317243Z [err]      _bufferedAmount: 0,
2026-02-05T01:49:53.656324009Z [err]        message: [Function],
2026-02-05T01:49:53.656326032Z [err]      _isServer: false,
2026-02-05T01:49:53.656330996Z [err]        close: [Function],
2026-02-05T01:49:53.656332679Z [err]      _redirects: 0,
2026-02-05T01:49:53.656337983Z [err]        open: [Function]
2026-02-05T01:49:53.656339325Z [err]      _autoPong: true,
2026-02-05T01:49:53.656345206Z [err]      },
2026-02-05T01:49:53.656345779Z [err]      _closeTimeout: 30000,
2026-02-05T01:49:53.656351821Z [err]      _url: 'wss://postgres.railway.internal/v2',
2026-02-05T01:49:53.656357737Z [err]      _req: null,
2026-02-05T01:49:53.656359375Z [err]      _protocol: '',
2026-02-05T01:49:53.656364427Z [err]      [Symbol(shapeMode)]: false,
2026-02-05T01:49:53.656366223Z [err]      _readyState: 3,
2026-02-05T01:49:53.656371226Z [err]      [Symbol(kCapture)]: false
2026-02-05T01:49:53.656373335Z [err]      _receiver: null,
2026-02-05T01:49:53.656378093Z [err]    },
2026-02-05T01:49:53.656380106Z [err]      _sender: null,
2026-02-05T01:49:53.656385532Z [err]    [Symbol(kType)]: 'error',
2026-02-05T01:49:53.656391882Z [err]      _closeFrameReceived: false,
2026-02-05T01:49:53.656393482Z [err]    [Symbol(kError)]: AggregateError [ECONNREFUSED]: 
2026-02-05T01:49:53.656399898Z [err]      _closeFrameSent: false,
2026-02-05T01:49:53.656400186Z [err]        at internalConnectMultiple (node:net:1122:18)
2026-02-05T01:49:53.656408200Z [err]        at afterConnectMultiple (node:net:1689:7) {
2026-02-05T01:49:53.656408216Z [err]      _closeMessage: <Buffer >,
2026-02-05T01:49:53.656415849Z [err]      code: 'ECONNREFUSED',
2026-02-05T01:49:53.656415858Z [err]      _closeTimer: null,
2026-02-05T01:49:53.656422709Z [err]      _errorEmitted: true,
2026-02-05T01:49:53.656424201Z [err]      [errors]: [ [Error], [Error] ]
2026-02-05T01:49:53.656429905Z [err]      _extensions: {},
2026-02-05T01:49:53.656430851Z [err]    },
2026-02-05T01:49:53.656436817Z [err]      _paused: false,
2026-02-05T01:49:53.656437875Z [err]    [Symbol(kMessage)]: ''
2026-02-05T01:49:53.656444039Z [err]  }
2026-02-05T01:49:53.656451320Z [inf]  1:49:45 AM [express] GET /api/auth/user 500 in 88ms :: {"message":"Failed to fetch user"}
2026-02-05T01:49:53.656454284Z [err]      _socket: null,
2026-02-05T01:49:53.656461611Z [err]      _bufferedAmount: 0,
2026-02-05T01:49:53.656463392Z [err]      _autoPong: true,
2026-02-05T01:49:53.656468924Z [err]      _isServer: false,
2026-02-05T01:49:53.656471202Z [err]      _closeTimeout: 30000,
2026-02-05T01:49:53.656477134Z [err]      _redirects: 0,
2026-02-05T01:49:53.656479054Z [err]      _url: 'wss://postgres.railway.internal/v2',
2026-02-05T01:49:53.656485422Z [err]      _req: null,
2026-02-05T01:49:53.657128559Z [err]      [Symbol(shapeMode)]: false,
2026-02-05T01:49:53.657136798Z [err]      [Symbol(kCapture)]: false
2026-02-05T01:49:53.657142791Z [err]    },
2026-02-05T01:49:53.657148701Z [err]    [Symbol(kType)]: 'error',
2026-02-05T01:49:53.657155428Z [err]    [Symbol(kError)]: AggregateError [ECONNREFUSED]: 
2026-02-05T01:49:53.657161596Z [err]        at internalConnectMultiple (node:net:1122:18)
2026-02-05T01:49:53.657168436Z [err]        at afterConnectMultiple (node:net:1689:7) {
2026-02-05T01:49:53.657175751Z [err]      code: 'ECONNREFUSED',
2026-02-05T01:49:53.657181870Z [err]      [errors]: [ [Error], [Error] ]
2026-02-05T01:49:53.657188891Z [err]    },
2026-02-05T01:49:53.657195951Z [err]    [Symbol(kMessage)]: ''
2026-02-05T01:49:53.657205394Z [err]  }
2026-02-05T01:49:53.657218890Z [inf]  🔒 SECURITY_AUDIT: {"timestamp":"2026-02-05T01:49:45.597Z","eventType":"CLAIM_CODE_EVENT","userId":"student-001","userRole":"student","action":"REDEEM_FAILED","success":false,"details":{"blockReason":"COPPA_ENFORCEMENT_ERROR","error":"Unknown error","endpoint":"/api/tokens","timestamp":"2026-02-05T01:49:45.597Z","security_context":"coppa_compliant_registration","compliance_note":"Student registration audit - no sensitive data stored","data_minimization":"COPPA_COMPLIANT"},"compliance":"COPPA_FERPA_NCMEC_COMPLIANT"}
2026-02-05T01:49:53.657227808Z [inf]  1:49:45 AM [express] GET /api/tokens 500 in 88ms :: {"error":"Account access verification temporaril…
